energy,date
62647,4/5/2018
63251,4/6/2018
70102,4/7/2018
72082,4/8/2018
85209,4/9/2018
91149,4/10/2018
85564,4/11/2018
103974,4/12/2018
104682,4/13/2018
97087,4/14/2018
112958,4/15/2018
126120,4/16/2018
139220,4/17/2018
149387,4/18/2018
133404,4/19/2018
145155,4/20/2018
148050,4/21/2018
115925,4/22/2018
67341,4/23/2018
64566,4/24/2018
65568,4/25/2018
71603,4/26/2018
62672,4/27/2018
61748,4/28/2018
61992,4/29/2018
67385,4/30/2018
64339,5/1/2018
62611,5/2/2018
63328,5/3/2018
65480,5/4/2018
66762,5/5/2018
67621,5/6/2018
62964,5/7/2018
67129,5/8/2018
66323,5/9/2018
72077,5/10/2018
59344,5/11/2018
71078,5/12/2018
73540,5/13/2018
65062,5/14/2018
74331,5/15/2018
74688,5/16/2018
73492,5/17/2018
70577,5/18/2018
76038,5/19/2018
69687,5/20/2018
75873,5/21/2018
73528,5/22/2018
67215,5/23/2018
67436,5/24/2018
66089,5/25/2018
73369,5/26/2018
65497,5/27/2018
81140,5/28/2018
83141,5/29/2018
84773,5/30/2018
74550,5/31/2018
90216,6/1/2018
74468,6/2/2018
65572,6/3/2018
65261,6/4/2018
68166,6/5/2018
49592,6/6/2018
82342,6/7/2018
65416,6/8/2018
66714,6/9/2018
50321,6/10/2018
79242,6/11/2018
80756,6/12/2018
68858,6/13/2018
80317,6/14/2018
85652,6/15/2018
77626,6/16/2018
78235,6/17/2018
74549,6/18/2018
74215,6/19/2018
73881,6/20/2018
76055,6/21/2018
76050,6/22/2018
75562,6/23/2018
65947,6/24/2018
80317,6/25/2018
80294,6/26/2018
66969,6/27/2018
70029,6/28/2018
64698,6/29/2018
60266,6/30/2018
71605,7/1/2018
94897,7/2/2018
65061,7/3/2018
66499,7/4/2018
67937,7/5/2018
64893,7/6/2018
66315,7/7/2018
65695,7/8/2018
75065,7/9/2018
77823,7/10/2018
68036,7/11/2018
100829,7/12/2018
70479,7/13/2018
71662,7/14/2018
70803,7/15/2018
71975,7/16/2018
70720,7/17/2018
84674,7/18/2018
56054,7/19/2018
60595,7/20/2018
63645,7/21/2018
65799,7/22/2018
59886,7/23/2018
62873,7/24/2018
65859,7/25/2018
71402,7/26/2018
70451,7/27/2018
68945,7/28/2018
70669,7/29/2018
66644,7/30/2018
64124,7/31/2018
109139,8/1/2018
69435,8/2/2018
63082,8/3/2018
64981,8/4/2018
69538,8/5/2018
69309,8/6/2018
67011,8/7/2018
74199,8/8/2018
74807,8/9/2018
70598,8/10/2018
77106,8/11/2018
74277,8/12/2018
74963,8/13/2018
65416,8/14/2018
73767,8/15/2018
74821,8/16/2018
71033,8/17/2018
76646,8/18/2018
68467,8/19/2018
70027,8/20/2018
71976,8/21/2018
73218,8/22/2018
70687,8/23/2018
72455,8/24/2018
69273,8/25/2018
64670,8/26/2018
66414,8/27/2018
69404,8/28/2018
70247,8/29/2018
48638,8/30/2018
54591,8/31/2018
65987,9/1/2018
72731,9/2/2018
74906,9/3/2018
75150,9/4/2018
76910,9/5/2018
73100,9/6/2018
75585,9/7/2018
62981,9/8/2018
46830,9/9/2018
39148,9/10/2018
41967,9/11/2018
44787,9/12/2018
63278,9/13/2018
40767,9/14/2018
36306,9/15/2018
31844,9/16/2018
68807,9/17/2018
68722,9/18/2018
66810,9/19/2018
47749,9/20/2018
48634,9/21/2018
46251,9/22/2018
46371,9/23/2018
49185,9/24/2018
48990,9/25/2018
45701,9/26/2018
48738,9/27/2018
68743,9/28/2018
48305,9/29/2018
47817,9/30/2018
73002,10/1/2018
70261,10/2/2018
68070,10/3/2018
83279,10/4/2018
66443,10/5/2018
72619,10/6/2018
72559,10/7/2018
71389,10/8/2018
69227,10/9/2018
75379,10/10/2018
74192,10/11/2018
75853,10/12/2018
91618,10/13/2018
127221,10/14/2018
75534,10/15/2018
76835,10/16/2018
78563,10/17/2018
77912,10/18/2018
78033,10/19/2018
77956,10/20/2018
79581,10/21/2018
82376,10/22/2018
78650,10/23/2018
84331,10/24/2018
80923,10/25/2018
78652,10/26/2018
79563,10/27/2018
82506,10/28/2018
67286,10/29/2018
110742,10/30/2018
69953,10/31/2018
84735,11/1/2018
82249,11/2/2018
82710,11/3/2018
86474,11/4/2018
87424,11/5/2018
87971,11/6/2018
97070,11/7/2018
104178,11/8/2018
100135,11/9/2018
107167,11/10/2018
107849,11/11/2018
114145,11/12/2018
111922,11/13/2018
106784,11/14/2018
103031,11/15/2018
101830,11/16/2018
112418,11/17/2018
101749,11/18/2018
82888,11/19/2018
80391,11/20/2018
84346,11/21/2018
79541,11/22/2018
87315,11/23/2018
96517,11/24/2018
86706,11/25/2018
94918,11/26/2018
119851,11/27/2018
105654,11/28/2018
104701,11/29/2018
110694,11/30/2018
129434,12/1/2018
107642,12/2/2018
89686,12/3/2018
99660,12/4/2018
104744,12/5/2018
111518,12/6/2018
111837,12/7/2018
111848,12/8/2018
104202,12/9/2018
109003,12/10/2018
130897,12/11/2018
127638,12/12/2018
124311,12/13/2018
125010,12/14/2018
135500,12/15/2018
129307,12/16/2018
131613,12/17/2018
132858,12/18/2018
100408,12/19/2018
119763,12/20/2018
123001,12/21/2018
122956,12/22/2018
124578,12/23/2018
126272,12/24/2018
122058,12/25/2018
127473,12/26/2018
125434,12/27/2018
